Timestamp,Gender,Age,Education,Current occupation ,What is your latest job and position before retired? __________,Marital status ,Children ,Grandchildren ,Household income per month ,Where do you live?,Do you use social media?,"
 What type of social media do you use?",What kind of communication tools do you use?,What do you do in free-time?,An average hour spent on social media per day,"I use social media to contact with
family, cousin, friends.",I use social media to update news,"I use social media to read product
review",I use social media to update trend,I use social media for work,"I post my personal story/photo on
social media such as Facebook","I interact with what friend share on
social media","Social media help me to contact with
family easily","Social media help me to contact with
friends easily","Social media help me to connect with
old friends",Social media can connect the world,"Social media can reduce gap in
family among different generations","I don't feel alone anymore when I use
social media","It is convenience to update news
through social media","It is faster to update news from social
media rather than traditional media","Social media help to save cost for
communication than using normal
phone call",I find social media useful for my job,I feel safe when I use social media,I think social media is easy to use,"I think message that people share on
social media is useful","I always find second source of
information to support before I share
anything on social media","I believe in letter chain when people
share on social media"
3/27/2025 15:20:30,Male,60-70 years old,High school,Part-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone",Meeting friends,8,2,2,2,3,1,2,1,2,3,1,2,1,2,1,2,2,1,4,1,2,1,1
3/27/2025 15:21:35,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Reading book,5,1,2,1,2,1,3,1,2,2,1,1,2,3,1,3,1,1,2,3,1,2,1
3/27/2025 19:34:25,Male,40-50 year old,Bachelor's degree,Part-time employed,,Alone,0,0,"Less than 15,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat",Smart phone,Traveling,4,3,3,3,3,3,2,3,2,3,3,2,3,2,3,3,3,4,4,3,3,4,3
3/28/2025 8:56:17,Male,60-70 years old,Master's degree,Retired,Government Driver ,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Exercising,10,1,2,1,2,1,1,1,2,2,1,2,1,1,3,2,3,1,1,1,1,1,2
3/28/2025 16:38:23,Male,50-60 years old,High school,Full-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Reading book,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3/28/2025 16:40:47,Male,60-70 years old,Lower than primary school,Full-time employed,,Live with family,1,0,"30,001-50,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Meeting friends,7,1,1,2,3,1,2,1,1,3,2,1,1,1,1,2,1,2,2,1,1,1,1
3/28/2025 16:42:41,Female,50-60 years old,Bachelor's degree,Part-time employed,,Live with family,4 or above,1,"More than 100,000",India,Yes,"Facebook, Twitter","Smart phone, Tablet",Meeting friends,6,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5
3/28/2025 16:42:43,Male,60-70 years old,Primary school,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Tablet",Meeting friends,8,1,2,1,2,2,1,3,1,1,3,1,1,2,2,2,3,2,2,1,4,2,4
3/28/2025 16:43:29,Male,50-60 years old,Bachelor's degree,Full-time employed,Contractor,Live with family,4 or above,0,"More than 100,000",India,Yes,Facebook,Smart phone,Watch news,5,3,3,3,3,3,3,3,4,3,2,3,4,5,3,2,3,4,5,4,3,2,2
3/28/2025 16:44:13,Female,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,3,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Computer",Meeting friends,10,1,2,1,2,1,2,2,1,2,1,3,2,1,3,3,1,2,1,3,1,1,2
3/28/2025 16:44:48,Male,50-60 years old,Bachelor's degree,Retired,Business man,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,Smart phone,Planting,4,4,4,3,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
3/28/2025 16:44:51,Female,40-50 year old,High school,Housewife,,Live with family,4 or above,4 or above,"Less than 15,000",India,No,Other (please specify) _____________,Smart phone,Meeting friends,2,3,2,2,3,4,5,3,3,2,3,4,5,4,3,2,3,4,5,4,3,3,3
3/28/2025 16:45:39,Male,60-70 years old,Master's degree,Full-time employed,CRPF,Live with family,1,2,"More than 100,000",India,Yes,"Facebook, LinkedIn","Normal phone (Can only call and SMS), Smart phone",Reading book,6,2,2,1,2,1,2,1,2,3,1,2,3,2,2,2,2,3,1,3,1,2,1
3/28/2025 16:46:00,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,3,3,"30,001-50,000",India,Yes,"Facebook, Instagram","Smart phone, Computer",Meeting friends,4,2,3,3,4,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,2,3
3/28/2025 16:46:23,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,0,"50,001-100,000",India,Yes,"Facebook, Instagram, LinkedIn","Smart phone, Computer",Meeting friends,6,4,3,4,4,2,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4
3/28/2025 16:46:55,Male,71 years old and above,Lower than primary school,Full-time employed,,Alone,2,2,"50,001-100,000",India,Yes,"Facebook, Instagram",Normal phone (Can only call and SMS),Traveling,7,3,2,1,2,3,5,4,1,2,3,2,1,2,3,2,2,1,3,4,1,3,2
3/28/2025 16:47:50,Female,40-50 year old,Bachelor's degree,Full-time employed,,Alone,1,0,"30,001-50,000",India,Yes,Facebook,Smart phone,Meeting friends,5,3,4,4,4,4,1,3,4,5,5,5,5,4,4,4,4,4,5,3,4,5,5
3/28/2025 16:47:52,Male,50-60 years old,Bachelor's degree,Full-time employed,,Alone,2,2,"50,001-100,000",India,Yes,"Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone, Tablet",Meeting friends,9,1,4,4,3,2,1,3,2,4,3,2,3,1,2,2,2,2,3,3,3,1,1
3/28/2025 16:49:22,Male,50-60 years old,Bachelor's degree,Full-time employed,,Alone,2,3,"More than 100,000",India,Yes,"Facebook, Instagram, Snapchat","Normal phone (Can only call and SMS), Smart phone",Reading book,9,1,1,3,2,1,2,2,2,2,1,2,1,1,1,3,2,1,1,2,1,2,2
3/28/2025 16:50:27,Male,60-70 years old,Bachelor's degree,Retired,Government Driver ,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram",Normal phone (Can only call and SMS),Reading book,7,2,2,1,3,2,3,4,2,1,3,4,1,4,2,2,1,4,3,3,2,2,3
3/28/2025 16:51:27,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,2,"30,001-50,000",India,Yes,Instagram,Tablet,Meeting friends,3,4,2,2,3,5,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,2
3/28/2025 16:52:10,Female,50-60 years old,Bachelor's degree,Part-time employed,,Live with family,2,2,"More than 100,000",India,Yes,Twitter,Tablet,Exercising,5,2,3,2,3,3,2,4,2,2,3,2,3,2,3,2,3,2,3,4,2,3,1
3/28/2025 16:53:07,Female,40-50 year old,High school,Full-time employed,,Live with family,2,0,"50,001-100,000",India,Yes,Twitter,Smart phone,Exercising,4,1,2,3,2,3,4,3,3,2,3,2,2,2,3,4,2,3,4,3,2,3,2
3/28/2025 16:53:28,Male,60-70 years old,Bachelor's degree,Part-time employed,,Live with family,3,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,8,2,1,3,4,4,3,1,2,2,2,1,2,1,3,4,4,2,2,4,2,3,4
3/28/2025 16:54:27,Female,60-70 years old,High school,Full-time employed,,Live with family,2,3,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Exercising,8,3,2,2,2,2,2,2,3,2,3,2,2,1,2,3,3,2,4,2,2,2,2
3/28/2025 16:54:29,Male,71 years old and above,Bachelor's degree,Full-time employed,,Live with family,2,2,"50,001-100,000",India,Yes,Instagram,Smart phone,Meeting friends,5,3,1,3,3,2,1,3,3,2,3,2,2,2,3,3,2,2,2,3,3,2,3
3/28/2025 16:55:05,Female,40-50 year old,Bachelor's degree,Part-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,"Smart phone, Tablet",Exercising,6,4,4,2,2,1,1,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3/28/2025 16:55:29,Female,50-60 years old,High school,Full-time employed,,Live with family,1,2,"15,001-30,000",India,Yes,Instagram,Smart phone,Café hopping,4,2,2,2,3,4,3,2,3,2,2,3,4,3,2,3,3,3,2,3,2,2,3
3/28/2025 16:56:20,Female,50-60 years old,High school,Part-time employed,,Live with family,2,1,"More than 100,000",India,Yes,Instagram,Smart phone,Meeting friends,6,3,2,3,4,3,2,4,3,2,3,2,4,4,2,3,2,3,3,3,2,3,2
3/28/2025 16:58:08,Male,60-70 years old,High school,Part-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone, Computer",Café hopping,9,2,2,2,2,2,3,2,1,3,2,2,2,2,2,1,2,2,3,2,2,2,2
3/28/2025 16:59:09,Female,60-70 years old,Primary school,Part-time employed,,Live with family,2,0,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter",Smart phone,Exercising,3,3,4,4,2,2,1,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
3/28/2025 16:59:46,Male,60-70 years old,Master's degree,Retired,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Café hopping,9,3,3,3,4,3,4,2,3,2,3,2,3,1,2,1,4,3,3,4,2,3,4
3/28/2025 17:00:35,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone",Meeting friends,7,1,3,1,2,4,3,4,2,4,3,2,2,2,4,2,3,3,3,2,2,1,3
3/28/2025 17:01:27,Male,60-70 years old,High school,Full-time employed,,Live with family,2,3,"More than 100,000",India,Yes,"Facebook, Instagram, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Reading book,8,2,4,2,2,4,2,1,3,2,2,3,2,1,2,2,1,4,2,1,3,4,1
3/28/2025 17:02:19,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Shopping,5,2,3,2,2,2,2,3,2,2,2,3,2,3,2,3,3,2,3,2,2,3,2
3/28/2025 17:03:36,Male,71 years old and above,Bachelor's degree,Full-time employed,,Live with family,3,2,"50,001-100,000",India,Yes,"Instagram, Twitter, LinkedIn",Computer,Exercising,8,2,3,2,3,5,3,2,3,2,2,1,2,4,4,3,3,3,3,2,2,2,2
3/28/2025 17:04:22,Male,60-70 years old,High school,Retired,,Live with family,3,3,"More than 100,000",India,Yes,"Facebook, Twitter, LinkedIn",Normal phone (Can only call and SMS),Planting,9,2,2,3,4,3,3,3,2,2,4,3,2,3,3,3,2,3,3,2,2,2,2
3/28/2025 17:27:07,Female,60-70 years old,Bachelor's degree,Housewife,,Live with family,2,1,"50,001-100,000",India,Yes,Facebook,Smart phone,Meeting friends,2,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,5,5,5,5
3/28/2025 17:28:26,Female,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,3,4 or above,"30,001-50,000",India,Yes,Facebook,Smart phone,Planting,6,3,3,3,3,5,5,5,3,4,3,4,4,5,5,5,4,5,5,5,4,5,5
3/28/2025 17:31:10,Female,71 years old and above,High school,Housewife,,Live with family,2,3,"30,001-50,000",India,Yes,Facebook,Smart phone,Exercising,5,3,3,3,2,1,3,3,3,5,4,4,5,5,4,5,4,3,3,3,3,4,4
3/28/2025 17:34:07,Female,40-50 year old,Master's degree,Full-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,Facebook,Smart phone,Planting,6,4,3,3,3,3,4,4,4,4,4,4,4,2,5,3,4,3,3,3,3,4,4
3/28/2025 17:35:36,Female,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,3,4 or above,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Smart phone, Tablet, Computer",Meeting friends,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/28/2025 17:36:19,Female,71 years old and above,High school,Housewife,,Live with family,2,4 or above,"More than 100,000",India,Yes,Other (please specify) _____________,Smart phone,Meeting friends,4,2,1,3,2,3,5,3,1,2,3,2,2,2,1,1,1,2,3,3,2,2,3
3/28/2025 17:36:51,Male,40-50 year old,Bachelor's degree,Full-time employed,,Live with family,1,0,"30,001-50,000",India,Yes,Instagram,Smart phone,Café hopping,6,3,2,2,3,4,3,2,3,2,3,4,3,2,3,4,3,2,4,4,3,2,2
3/28/2025 17:37:35,Female,50-60 years old,High school,Full-time employed,,Alone,0,0,"30,001-50,000",India,Yes,Instagram,Smart phone,Exercising,7,2,2,2,3,4,3,2,3,2,2,3,4,3,2,3,4,3,2,3,3,3,2
3/28/2025 17:38:27,Female,50-60 years old,High school,Full-time employed,,Live with family,1,2,"30,001-50,000",India,Yes,Twitter,Smart phone,Café hopping,4,2,1,2,3,3,2,4,3,2,3,3,4,3,3,2,3,3,4,2,3,2,4
3/28/2025 17:38:38,Female,60-70 years old,Bachelor's degree,Housewife,,Live with family,2,2,"Less than 15,000",India,Yes,"Facebook, LinkedIn",Smart phone,Reading book,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4
3/28/2025 17:38:42,Female,50-60 years old,Bachelor's degree,Housewife,,Live with family,1,0,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, Other (please specify) _____________","Smart phone, Tablet, Computer",Reading book,3,1,1,1,3,2,1,1,1,1,1,1,2,2,2,1,1,2,3,2,1,1,2
3/28/2025 17:39:17,Male,60-70 years old,High school,Part-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,LinkedIn,Tablet,Café hopping,5,3,2,2,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,3,3,2,3
3/28/2025 17:40:03,Male,50-60 years old,Bachelor's degree,Full-time employed,,Live with family,2,3,"30,001-50,000",India,Yes,Twitter,Computer,Planting,6,3,2,3,3,1,3,3,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2
3/28/2025 17:40:39,Female,60-70 years old,High school,Full-time employed,,Live with family,2,2,"30,001-50,000",India,Yes,Facebook,Smart phone,Meeting friends,6,2,2,3,2,3,2,3,2,2,3,3,2,2,2,4,3,2,3,2,3,3,2
3/28/2025 17:40:58,Female,40-50 year old,Master's degree,Full-time employed,,Alone,2,4 or above,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat, Other (please specify) _____________","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer, Other______",Reading book,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/28/2025 17:41:28,Male,60-70 years old,Bachelor's degree,Retired,,Live with family,3,1,"50,001-100,000",India,Yes,Twitter,Normal phone (Can only call and SMS),Planting,6,3,2,3,3,1,3,2,3,2,3,3,2,3,2,3,2,4,3,2,3,2,3
3/28/2025 17:41:36,Female,40-50 year old,Bachelor's degree,Part-time employed,,Live with family,1,0,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, Snapchat, Other (please specify) _____________","Smart phone, Tablet, Computer",Meeting friends,5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1
3/28/2025 17:42:16,Female,50-60 years old,Master's degree,Part-time employed,,Live with family,2,2,"More than 100,000",India,Yes,Twitter,Tablet,Planting,6,3,2,3,2,3,3,2,3,2,3,2,3,3,3,2,2,3,2,3,2,3,2
3/28/2025 17:42:24,Male,50-60 years old,Master's degree,Full-time employed,,Live with family,4 or above,4 or above,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Café hopping,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/28/2025 17:43:31,Female,60-70 years old,Bachelor's degree,Retired,,Live with family,2,3,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Smart phone, Tablet, Computer",Reading book,6,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3
3/28/2025 17:43:54,Male,60-70 years old,Master's degree,Retired,,Live with family,2,3,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Exercising,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/29/2025 21:13:58,Female,40-50 year old,High school,Housewife,,Live with family,3,0,"Less than 15,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Café hopping,2,2,3,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,3,2
3/30/2025 18:17:37,Female,40-50 year old,Master's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Tablet, Computer",Café hopping,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/30/2025 18:17:40,Female,50-60 years old,Master's degree,Full-time employed,,Live with family,1,2,"50,001-100,000",India,Yes,"Facebook, YouTube ","Smart phone, Computer",Exercising,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3/30/2025 18:19:15,Female,71 years old and above,Master's degree,Retired,Highschool teacher ,Live with family,3,3,"50,001-100,000",India,Yes,"Facebook, Instagram",Smart phone,Meeting friends,8,4,4,4,4,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
3/30/2025 18:19:17,Male,50-60 years old,Master's degree,Retired,,Live with family,2,1,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Tablet, Computer",Reading book,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3/30/2025 18:20:43,Male,71 years old and above,Master's degree,Retired,Doctor ,Live with family,3,4 or above,"More than 100,000",India,Yes,"Facebook, Instagram, YouTube ",Smart phone,Reading book,9,4,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
3/30/2025 18:24:01,Male,60-70 years old,Bachelor's degree,Retired,Business ,Live with family,3,2,"30,001-50,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, YouTube",Smart phone,Exercising,9,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,3,4
3/30/2025 18:30:23,Male,50-60 years old,Master's degree,Full-time employed,,Live with family,1,0,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn","Smart phone, Tablet, Computer",Planting,3,2,1,1,2,1,5,2,3,1,1,1,2,2,1,1,1,1,2,1,2,1,2
3/31/2025 0:17:28,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,2,3,"50,001-100,000",India,Yes,"Facebook, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone, Computer",Exercising,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:47:09,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,2,1,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter, LinkedIn, Snapchat","Normal phone (Can only call and SMS), Smart phone",Reading book,7,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:48:11,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Meeting friends,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:50:13,Male,60-70 years old,Master's degree,Full-time employed,,Live with family,2,2,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone, Tablet",Café hopping,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:51:05,Female,60-70 years old,Master's degree,Full-time employed,,Live with family,2,1,"50,001-100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Tablet",Planting,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:53:23,Male,60-70 years old,Bachelor's degree,Retired,Government employee,Live with family,2,2,"More than 100,000",India,Yes,"Facebook, Instagram, Twitter","Normal phone (Can only call and SMS), Smart phone, Computer",Traveling,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:54:33,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,2,1,"More than 100,000",India,Yes,"Facebook, Instagram","Normal phone (Can only call and SMS), Smart phone, Computer",Meeting friends,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:55:41,Male,60-70 years old,Bachelor's degree,Retired,Teacher ,Live with family,3,1,"More than 100,000",India,Yes,"Facebook, Instagram, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Computer",Meeting friends,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:56:36,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,2,"More than 100,000",India,Yes,"Facebook, Instagram, LinkedIn","Normal phone (Can only call and SMS), Smart phone, Computer",Reading book,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:57:54,Male,60-70 years old,Bachelor's degree,Retired,Driver ,Live with family,3,2,"50,001-100,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Meeting friends,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4/1/2025 10:58:49,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,3,1,"50,001-100,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Meeting friends,9,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
4/1/2025 11:00:45,Male,60-70 years old,High school,Full-time employed,,Live with family,2,3,"30,001-50,000",India,Yes,Facebook,Normal phone (Can only call and SMS),Meeting friends,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
4/1/2025 11:01:39,Male,60-70 years old,Bachelor's degree,Full-time employed,,Live with family,2,3,"50,001-100,000",India,Yes,Facebook,"Normal phone (Can only call and SMS), Smart phone",Planting,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
4/1/2025 11:03:32,Male,60-70 years old,High school,Part-time employed,,Live with family,3,3,"15,001-30,000",India,Yes,"Facebook, Instagram",Normal phone (Can only call and SMS),Exercising,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
